Id;lemme;anagramme;nb_lettres;nb_lettres2;syn_1;syn_2;syn_3;syn_4;syn_5;def_1;def_2;def_3
1821;canne;nnace;˽ ˽ ˽ ˽ ˽;5;stick;badine;jonc;baguette;bâton;Nom générique donné à plusieurs espèces de roseaux, tels que le roseau commun, la canne d’Inde, la canne odorante, le bambou, etc.;(Vieilli) Tige ou racine qui ne se trouve plus aujourd’hui dans le commerce, et qui provenait du Calamus aromaticus.;Bâton léger sur lequel on s’appuie de la main en marchant, souvent fait de roseau, de jonc ou de bois.
1822;vert;retv;˽ ˽ ˽ ˽;4;cru;égrillard;graveleux;osé;gaillard;Qui est d’une couleur semblable à celle des feuilles ou des herbes, dont la longueur d’onde dominante est comprise entre environ 490 et 570 nm.;Qualifie les arbres, les plantes qui ont encore quelque sève, du bois qui n’a pas encore perdu son humidité naturelle depuis qu’il est coupé.;(Figuré) Qualifie un homme âgé qui a encore de la vigueur.
1824;pétrin;irtpén;˽ ˽ ˽  ˽ ˽ ˽;6;bourbier;maie;huche;guêpier;canard;Coffre ou machine dans lesquels on pétrit le pain.;Embarras, gêne, dénuement.;
1826;caution;canotui;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;gage;garantie;garant;nantissement;dépôt;Garantie, assurance d’un engagement pris par soi-même ou par un autre.;Désigne aussi la personne qui donne ou dépose de l’argent en garantie.;Être ou se rendre caution de… : assurer, garantir que telle nouvelle est vraie, que telle chose est arrivée ou arrivera.
1828;messager;sraeesmg;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;annonciateur;envoyé;estafette;avant-coureur;précurseur;Celui qui est chargé de porter un message.;Celui qui se charge de transporter les colis d’une localité à une autre.;(Figuré) Dans le style élevé, annonciateur, avant-coureur.
1829;trottoir;orttirto;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;macadam;bitume;quai;accotement;pavé;Espace surélevé ménagé sur le côté d’une chaussée, d’un quai, d’une rue pour le passage des piétons.;(Figuré) (Populaire) Bord d’une tarte, d’une pizza.;(Québec) (Cuisine) Nom d’une sorte de pâtisserie, consistant en une pâte feuilletée, généralement rectangulaire, avec une garniture fruitée recouverte de lanières de pâte entrecroisées, dont l’aspect rappelle celui d’un trottoir [1].
1831;stress;sstser;˽ ˽ ˽  ˽ ˽ ˽;6;trac;agression;pression;angoisse;tension;Réaction à une agression par un agent extérieur, dont l’intensité dépend à la fois des facteurs internes à l’entité stressée (capacité d’interprétation d’un élément comme stressant) et externes à l’entité stressée (les caractéristiques des agents extérieurs).;L’agression en elle-même.;(Agriculture) (Familier) État d’une plante ou d’une culture lorsque l’un des facteurs de sa croissance (eau, engrais, chaleur, etc.) vient à manquer.
1833;héritier;itéihrre;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;successeur;légataire;fils;ayant cause;donataire;Celui ou celle que la loi appelle à recueillir une succession.;(Par extension) Détenteur d’une chose dont on hérite.;(Par extension) Enfants d’une personne, parce qu’ils sont ses héritiers naturels.
1834;taureau;aaurteu;˽ ˽ ˽  ˽  ˽ ˽ ˽;7;tauride;taurillon;boeuf;mâle;barque;(Élevage) Mâle reproducteur de l’espèce bovine dont la femelle est la vache.;(Spécialement) Le taureau de combat, race de cette espèce sélectionné et élevé pour la tauromachie.;Mâle reproducteur des élan.
1836;intimité;titéinmi;˽ ˽ ˽ ˽  ˽ ˽ ˽ ˽;8;familiarité;camaraderie;accointance;amitié;fréquentation;Qualité de ce qui est intime.;(Par extension) Caractère de confiance réciproque des relations sociales.;(En particulier) Partie généralement cachée de l'anatomie d'un individu, notamment les parties génitales.
