"","lemme","freqlemfilms2","nb_lettres","anagramme"
"293","chic",19.57,4,"ccih"
"294","sincère",19.51,7,"eièrcns"
"295","physique",19.42,8,"pqshiyue"
"296","populaire",19.34,9,"piuorlpea"
"297","correct",19.24,7,"ecrrotc"
"298","criminel",19.06,8,"rlmecini"
"299","blessé",18.77,6,"lbéses"
"300","fameux",18.67,6,"faeumx"
"301","large",18.66,5,"eralg"
"302","laid",18.54,4,"dlai"
"303","ivre",18.32,4,"rvie"
"304","final",18.2,5,"lfian"
"305","mental",18.15,6,"etlamn"
"306","central",18.14,7,"nlctera"
"307","local",18.11,5,"lcoal"
"308","pourri",18.09,6,"oirupr"
"309","patient",17.66,7,"nitatpe"
"310","suffisant",17.56,9,"asfifsnut"
"311","injuste",17.46,7,"utisjne"
"312","reçu",17.39,4,"çrue"
"313","arrière",17.38,7,"rèareir"
"314","commandant",17.32,10,"mcdmaontan"
"315","positif",17.27,7,"sotpfii"
"316","absolu",17.25,6,"soluba"
"317","douloureux",17.16,10,"ooulexrduu"
"318","scientifique",17.07,12,"tnfiiqiecsue"
"319","salaud",16.89,6,"aaldus"
"320","féminin",16.88,7,"nméinif"
"321","légal",16.79,5,"élgla"
"322","splendide",16.73,9,"dneislped"
"323","exceptionnel",16.68,12,"icnnepxleeto"
"324","international",16.65,13,"lrneoinntiata"
"325","pâle",16.5,4,"eâlp"
"326","lent",16.41,4,"etnl"
"327","moral",16.39,5,"mlaro"
"328","timide",16.36,6,"mdeiti"
"329","mince",16.27,5,"mecin"
"330","sympathique",16.23,11,"uahyqitemps"
"331","invisible",16.21,9,"ilvbsiine"
"332","excitant",16.14,8,"cettxian"
"333","négatif",16.02,7,"tanigfé"
"334","dégoûtant",15.92,9,"ûtéaotdng"
"335","impressionnant",15.91,14,"etrmapsnnnoiis"
"336","fragile",15.89,7,"flrgeai"
"337","ravissant",15.85,9,"svatrnias"
"338","intime",15.78,6,"eiitmn"
"339","familial",15.66,8,"malafili"
"340","habituel",15.66,8,"heiulabt"
"341","bref",15.63,4,"ferb"
"342","discret",15.61,7,"sdiertc"
"343","classique",15.58,9,"luaeqcssi"
"344","minable",15.58,7,"nalmbei"
"345","religieux",15.52,9,"eliiugxre"
"346","nucléaire",15.49,9,"ulceraéin"
"347","directeur",15.47,9,"etrurcedi"
"348","fabuleux",15.34,8,"balefuux"
"349","suprême",15.26,7,"rseuêmp"
